Company,Rating,CocoaPercentage
Madecasse (Cinagra),3.5,75
Madre,3.5,73
Madre,2.75,70
Madre,3.5,70
Madre,2.75,70
Madre,2.75,70
Madre,3.25,70
Madre,3.25,70
Madre,3.5,70
Madre,2.5,70
Madre,2.75,70
Madre,2.75,72
Maglio,2.0,75
Maglio,3.0,70
Maglio,3.25,70
Maglio,3.75,70
Majani,2.0,70
Malagasy (Chocolaterie Robert),2.75,75
Malagasy (Chocolaterie Robert),3.5,73
Malagos,3.5,65
Malie Kai (Guittard),3.5,55
Malie Kai (Guittard),2.75,55
Malmo,3.0,70
Mana,2.5,74
Mana,2.5,74
Mana,2.75,74
Mana,3.75,74
Manifesto Cacao,2.75,70
Manoa,3.5,72
Manoa,3.75,72
Manoa,3.75,72
Manoa,3.25,72
Manoa,2.75,72
Manoa,3.0,72
Manoa,3.25,72
Manufaktura Czekolady,3.75,70
Manufaktura Czekolady,3.5,70
Manufaktura Czekolady,3.75,70
Manufaktura Czekolady,3.5,85
Manufaktura Czekolady,3.25,70
Manufaktura Czekolady,3.5,70
Manufaktura Czekolady,3.25,70
Map Chocolate,3.25,75
Map Chocolate,3.5,70
Map Chocolate,3.5,62
Map Chocolate,3.5,70
Map Chocolate,2.75,70
Map Chocolate,3.5,70
Map Chocolate,3.5,68
Map Chocolate,2.75,75
Map Chocolate,3.0,72
Map Chocolate,3.5,78
Marana,3.0,70
Marana,2.75,70
Marana,3.0,70
Marigold's Finest,3.25,75
Marou,3.25,85
Marou,3.5,68
Marou,3.75,70
Marou,3.5,75
Marou,3.5,76
Marou,3.5,72
Marou,3.5,70
Marou,3.5,78
Marou,3.0,80
Marou,3.5,74
Mars,3.0,65
Mars,3.0,65
Mars,3.25,65
Mars,3.5,65
Marsatta,2.25,74
Marsatta,2.5,89
Martin Mayer,2.75,76
Martin Mayer,3.0,82
Martin Mayer,3.25,74
Mast Brothers,3.0,76
Mast Brothers,3.25,74
Mast Brothers,3.75,75
Mast Brothers,3.5,73
Mast Brothers,2.5,72
Mast Brothers,2.75,73
Mast Brothers,3.5,72
Mast Brothers,3.0,76
Mast Brothers,3.0,70
Mast Brothers,2.75,81
Mast Brothers,3.5,70
Mast Brothers,2.75,71
Mast Brothers,3.0,75
Mast Brothers,3.25,73
Mast Brothers,3.75,74
Mast Brothers,2.75,81
Mast Brothers,3.0,75
Mast Brothers,3.25,70
Matale,3.5,72
Matale,4.0,68
Matale,4.0,74
Matale,3.75,70
Maverick,3.25,70
Maverick,3.25,70
Maverick,3.25,82
Maverick,3.5,63
Mayacama,3.0,72
Meadowlands,2.5,70
Meadowlands,2.75,70
Meadowlands,3.0,70
Meadowlands,3.0,70
Meadowlands,3.5,70
Menakao (aka Cinagra),2.5,80
Menakao (aka Cinagra),2.5,72
Mesocacao,2.75,80
Mesocacao,3.0,70
Mesocacao,3.25,80
Mesocacao,3.5,70
Mesocacao,3.25,70
Mesocacao,3.5,80
Metiisto,3.0,70
Metiisto,3.5,72
Metropolitan,3.5,70
Michel Cluizel,3.75,66
Michel Cluizel,3.5,66
Michel Cluizel,3.5,67
Michel Cluizel,2.0,60
Michel Cluizel,2.0,85
Michel Cluizel,3.0,70
Michel Cluizel,4.0,67
Michel Cluizel,4.0,65
Michel Cluizel,4.0,64
Michel Cluizel,2.0,99
Middlebury,3.5,80
Middlebury,3.5,70
Middlebury,3.75,75
Middlebury,3.75,75
Middlebury,3.25,75
Middlebury,3.5,70
Middlebury,2.5,75
Middlebury,3.25,80
Middlebury,1.5,65
Middlebury,2.0,75
Middlebury,2.5,70
Millcreek Cacao Roasters,2.5,70
Millcreek Cacao Roasters,3.5,70
Mindo,2.75,67
Mindo,2.75,77
Minimal,3.5,70
Mission,3.75,75
Mission,3.5,70
Mita,2.5,65
Moho,3.25,73
Moho,3.0,72
Moho,2.75,67
Molucca,3.0,70
Molucca,2.75,70
Molucca,3.25,70
Momotombo,2.75,70
Momotombo,2.75,70
Momotombo,3.25,70
Monarque,3.5,72
Monsieur Truffe,3.25,70
Montecristi,3.25,70
Montecristi,3.5,63
Montecristi,3.5,85
Muchomas (Mesocacao),3.5,70
Muchomas (Mesocacao),3.5,80
Mutari,2.75,68
Mutari,2.75,71
Mutari,2.75,68
Mutari,3.0,80
Nahua,2.5,58
Nahua,3.0,70
Naive,3.75,70
Naive,3.75,78
Naive,2.5,71
Naï¿½ve,3.25,70
Naï¿½ve,2.75,75
Naï¿½ve,3.0,70
Nanea,3.5,85
Nathan Miller,2.25,72
Nathan Miller,2.5,70
Nathan Miller,2.5,73.5
Nathan Miller,3.5,70
Neuhaus (Callebaut),2.5,70
Neuhaus (Callebaut),3.75,67
Neuhaus (Callebaut),1.0,73
Neuhaus (Callebaut),2.0,73
Neuhaus (Callebaut),2.75,75
Neuhaus (Callebaut),3.0,71
Nibble,2.25,72
Nibble,2.75,72
Nibble,3.0,72
Nibble,3.0,72
Night Owl,2.75,75
Night Owl,3.5,75
Noble Bean aka Jerjobo,3.0,75
Noble Bean aka Jerjobo,3.0,75
Noble Bean aka Jerjobo,3.25,75
Noir d' Ebine,3.0,70
Noir d' Ebine,3.0,70
Nova Monda,3.0,70
Nova Monda,2.75,75
Nova Monda,3.25,80
Nuance,3.75,70
Nuance,2.75,70
Nuance,3.0,70
Nuance,3.5,70
Nuance,3.75,70
Nugali,3.5,70
Oakland Chocolate Co.,2.5,70
Obolo,3.75,70
Obolo,3.75,70
Ocelot,3.75,70
Ocelot,4.0,75
Ocho,2.75,100
Ocho,3.5,70
Ocho,2.75,66
Ocho,3.0,70
Ocho,3.25,88
Ocho,3.5,74
Ohiyo,2.75,70
Ohiyo,3.0,70
Oialla by Bojessen (Malmo),3.5,70
Olive and Sinclair,3.0,72
Olive and Sinclair,3.0,72
Olive and Sinclair,2.75,67
Olive and Sinclair,3.0,75
Olivia,2.0,76
Olivia,2.75,76
Olivia,2.75,85
Olivia,3.0,85
Omanhene,2.75,80
Omnom,3.75,70
Omnom,3.0,70
Omnom,3.5,66
organicfair,2.75,74
organicfair,2.75,72
organicfair,2.75,72
organicfair,3.0,72
organicfair,3.0,72
Original Beans (Felchlin),2.75,68
Original Beans (Felchlin),3.25,80
Original Beans (Felchlin),3.75,66
Original Beans (Felchlin),3.0,70
Original Beans (Felchlin),3.0,75
Original Beans (Felchlin),3.25,68
Original Hawaiin Chocolate Factory,3.0,60
Original Hawaiin Chocolate Factory,3.0,60
Orquidea,3.0,65
Orquidea,3.0,72
Pacari,4.0,70
Pacari,3.25,70
Pacari,3.5,70
Pacari,3.75,70
Pacari,4.0,70
Pacari,2.75,85
Pacari,4.0,70
Pacari,3.5,70
Pacari,2.5,60
Pacari,2.75,65
Pacari,3.0,72
Pacari,2.0,100
Pacari,3.5,70
Palette de Bine,2.75,70
Palette de Bine,3.0,72
Palette de Bine,3.25,70
Palette de Bine,3.25,70
Palette de Bine,3.5,72
Palette de Bine,3.75,72
Palette de Bine,2.75,72
Palette de Bine,3.75,78
Palette de Bine,2.75,75
Palette de Bine,3.5,75
Palette de Bine,3.75,70
Pangea,3.0,76
Park 75,3.5,65
Parliament,3.25,70
Parliament,3.5,70
Parliament,3.0,70
Parliament,3.5,70
Pascha,2.5,55
Pascha,2.75,70
Patric,3.75,70
Patric,4.0,75
Patric,3.5,67
Patric,3.5,70
Patric,4.0,70
Patric,4.0,67
Paul Young,2.25,73
Paul Young,2.75,64
Peppalo,3.0,82
Pierre Marcolini,3.25,70
Pierre Marcolini,3.0,75
Pierre Marcolini,3.25,75
Pierre Marcolini,3.75,78
Pierre Marcolini,3.0,85
Pierre Marcolini,3.0,72
Pierre Marcolini,3.0,72
Pierre Marcolini,4.0,70
Pierre Marcolini,3.75,72
Pierre Marcolini,4.0,72
Pierre Marcolini,3.5,85
Pierre Marcolini,4.0,72
Pierre Marcolini,3.0,72
Pierre Marcolini,4.0,72
Pinellas,2.5,80
Pitch Dark,2.5,62
Pitch Dark,2.75,80
Pitch Dark,2.75,80
Pitch Dark,2.75,80
Pitch Dark,3.25,80
Pitch Dark,3.25,73
Pitch Dark,2.5,73
Pitch Dark,3.25,73
Pitch Dark,3.5,73
Pomm (aka Dead Dog),2.5,76
Pomm (aka Dead Dog),2.75,82
Potomac,3.75,70
Potomac,3.75,70
Potomac,3.5,70
Potomac,3.0,70
Potomac,2.75,70
Potomac,3.5,70
Potomac,3.75,82
Pralus,3.25,75
Pralus,3.25,75
Pralus,3.5,75
Pralus,2.0,75
Pralus,3.0,75
Pralus,3.0,100
Pralus,2.0,75
Pralus,3.5,75
Pralus,4.0,75
Pralus,3.0,75
Pralus,3.5,75
Pralus,3.5,75
Pralus,3.5,75
Pralus,3.75,75
Pralus,3.5,75
Pralus,3.5,75
Pralus,4.0,75
Pralus,3.0,75
Pralus,3.0,75
Pralus,3.25,75
Pralus,3.5,75
Pralus,4.0,80
Pralus,3.0,75
Pralus,3.0,75
Pralus,3.5,75
Pump Street Bakery,3.5,77
Pump Street Bakery,3.5,70
Pump Street Bakery,3.5,74
Pump Street Bakery,2.75,80
Pump Street Bakery,2.75,75
Pump Street Bakery,3.0,75
Pump Street Bakery,3.25,72
Pump Street Bakery,2.75,85
Pura Delizia,2.75,73
Q Chocolate,3.25,75
Q Chocolate,3.5,85
Q Chocolate,2.75,55
Q Chocolate,3.25,80
Q Chocolate,3.0,60
Q Chocolate,3.25,65
Quetzalli (Wolter),2.75,70
Quetzalli (Wolter),3.0,74
Raaka,3.0,70
Raaka,2.75,75
Raaka,3.25,75
Raaka,3.5,85
Rain Republic,2.75,70
Rancho San Jacinto,3.0,75
Ranger,2.5,70
Ranger,3.25,80
Ranger,3.5,73
Raoul Boulanger,3.25,75
Raw Cocoa,2.5,70
Republica del Cacao (aka Confecta),3.25,75
Republica del Cacao (aka Confecta),2.5,75
Republica del Cacao (aka Confecta),3.0,75
Republica del Cacao (aka Confecta),3.5,67
Republica del Cacao (aka Confecta),3.75,75
Ritual,3.75,75
Ritual,3.5,85
Ritual,3.5,70
Ritual,3.75,75
Ritual,3.0,75
Ritual,4.0,75
Ritual,3.25,75
Ritual,3.5,75
Ritual,3.5,75
Roasting Masters,3.25,70
Roasting Masters,3.25,70
Roasting Masters,3.25,70
Robert (aka Chocolaterie Robert),3.25,75
Robert (aka Chocolaterie Robert),3.25,68
Rococo (Grenada Chocolate Co.),3.5,66
Rogue,3.75,75
Rogue,3.75,70
Rogue,3.25,75
Rogue,3.75,80
Rogue,3.5,70
Rogue,3.5,70
Rogue,4.0,75
Rogue,3.75,75
Rogue,3.75,75
Rogue,3.0,75
Rogue,3.75,75
Rogue,3.5,70
Rogue,2.75,70
Rogue,2.75,70
Rogue,2.75,70
Rogue,3.0,70
Rozsavolgyi,2.5,84
Rozsavolgyi,2.25,76
Rozsavolgyi,2.5,72
Rozsavolgyi,3.5,73
Rozsavolgyi,2.5,71
Rozsavolgyi,3.5,70
Rozsavolgyi,2.75,77
S.A.I.D.,3.5,64
S.A.I.D.,1.5,100
S.A.I.D.,3.0,70
S.A.I.D.,3.5,72
S.A.I.D.,3.5,72
Sacred,2.75,83
Sacred,3.25,69
Salgado,3.5,70
Salgado,3.5,70
Salgado,3.5,70
Salgado,3.5,70
Santander (Compania Nacional),2.75,75
Santander (Compania Nacional),3.0,70
Santander (Compania Nacional),2.0,53
Santander (Compania Nacional),3.0,65
Santander (Compania Nacional),4.0,70
Santome,2.75,70
Scharffen Berger,4.0,78
Scharffen Berger,3.75,68
Scharffen Berger,3.5,68
Scharffen Berger,3.75,65
Scharffen Berger,3.75,68
Scharffen Berger,4.0,65
Scharffen Berger,3.75,72
Scharffen Berger,3.0,72
Scharffen Berger,3.0,72
Scharffen Berger,3.0,62
Scharffen Berger,3.75,75
Scharffen Berger,3.0,75
Scharffen Berger,2.0,82
Scharffen Berger,3.5,70
Scharffen Berger,2.0,68
Scharffen Berger,2.0,70
Scharffen Berger,3.0,62
Seaforth,2.75,70
Seaforth,2.75,70
Shark Mountain,3.25,72
Shark Mountain,3.5,73
Shark Mountain,2.75,77
Shark Mountain,3.5,74
Shark Mountain,3.0,75
Shark Mountain,3.25,72
Shark's,2.0,73
Shark's,2.5,73
Shattel,3.25,70
Shattell,3.5,75
Sibu,3.25,82
Sibu,3.5,70
Sibu Sura,2.5,70
Silvio Bessone,3.0,67
Silvio Bessone,3.25,65
Silvio Bessone,3.25,60
Silvio Bessone,3.0,68
Sirene,3.5,73
Sirene,3.5,73
Sirene,3.75,73
Sirene,3.0,100
Sirene,3.0,100
Sirene,3.0,73
Sirene,3.25,73
Sirene,3.25,73
Sirene,3.75,67
Sirene,3.75,73
Sirene,3.75,73
Sjolinds,2.75,70
Sjolinds,3.0,72
"Smooth Chocolator, The",3.5,70
"Smooth Chocolator, The",3.75,70
"Smooth Chocolator, The",4.0,70
"Smooth Chocolator, The",3.75,70
"Smooth Chocolator, The",3.0,70
"Smooth Chocolator, The",3.75,67
"Smooth Chocolator, The",3.25,70
"Smooth Chocolator, The",3.25,65
"Smooth Chocolator, The",3.5,70
"Smooth Chocolator, The",3.75,67
"Smooth Chocolator, The",3.75,70
"Smooth Chocolator, The",4.0,72
"Smooth Chocolator, The",2.75,72
"Smooth Chocolator, The",3.5,65
"Smooth Chocolator, The",3.0,67
"Smooth Chocolator, The",3.75,70
Snake & Butterfly,1.5,67
Snake & Butterfly,3.0,68
Snake & Butterfly,3.25,68
Sol Cacao,3.5,70
Sol Cacao,3.0,72
Solkiki,2.75,68
Solkiki,2.75,85
Solomons Gold,3.25,70
Solomons Gold,3.25,75
Solstice,3.0,70
Solstice,3.0,70
Solstice,3.0,70
Solstice,3.25,70
Solstice,3.25,70
Solstice,3.5,70
Soma,3.5,62
Soma,3.5,70
Soma,3.5,70
Soma,3.75,75
Soma,3.75,70
Soma,4.0,70
Soma,3.25,70
Soma,3.5,70
Soma,4.0,75
Soma,3.5,70
Soma,3.75,70
Soma,3.25,70
Soma,3.5,80
Soma,3.75,70
Soma,3.25,70
Soma,3.75,77
Soma,3.25,70
Soma,2.75,70
Soma,3.75,70
Soma,3.25,70
Soma,3.75,70
Soma,4.0,88
Soma,4.0,70
Soma,4.0,67
Soma,3.25,70
Soma,4.0,70
Soma,3.25,70
Soma,3.75,70
Soma,4.0,70
Soma,4.0,70
Soma,3.5,70
Soma,3.75,70
Soma,3.5,70
Soma,3.5,85
Soma,2.75,70
Soma,3.5,70
Soma,4.0,64
Soma,4.0,70
Soma,3.75,70
Soma,3.5,70
Soma,3.75,70
Soma,3.0,70
Soma,3.5,70
Soma,3.0,70
Soma,3.5,70
Soma,3.75,70
Soma,3.75,70
Somerville,3.25,70
Somerville,3.5,70
Soul,3.25,70
Soul,3.5,70
Soul,3.5,75
Soul,3.25,75
Soul,3.25,77
Soul,3.5,80
Spagnvola,3.0,70
Spagnvola,3.0,80
Spagnvola,3.25,75
Spencer,3.75,70
Spencer,3.5,70
Spencer,2.75,70
Spencer,3.5,70
Spencer,3.75,70
Spencer,3.75,70
Spencer,2.75,72
Sprungli (Felchlin),3.0,70
SRSLY,3.0,70
SRSLY,2.25,84
Starchild,3.0,70
Starchild,3.0,70
Starchild,3.0,70
Starchild,3.0,70
Starchild,3.0,70
Stella (aka Bernrain),2.75,68
Stella (aka Bernrain),3.25,72
Stone Grindz,3.5,84
Stone Grindz,3.5,70
StRita Supreme,2.5,65
StRita Supreme,2.5,70
StRita Supreme,2.75,75
Sublime Origins,2.75,67
Sublime Origins,3.25,78
Summerbird,2.5,61
Summerbird,3.0,71
Suruca Chocolate,2.75,70
Suruca Chocolate,3.0,60
Svenska Kakaobolaget,2.75,70
Szanto Tibor,3.25,70
Szanto Tibor,3.25,88
Szanto Tibor,3.25,70
Szanto Tibor,3.75,70
Szanto Tibor,3.25,70
Szanto Tibor,3.5,70
Szanto Tibor,3.5,70
Szanto Tibor,3.75,70
Szanto Tibor,3.5,70
Szanto Tibor,3.5,70
Szanto Tibor,3.25,70
Szanto Tibor,3.25,70
Szanto Tibor,3.25,70
Szanto Tibor,3.75,70
Szanto Tibor,3.0,70
Tabal,2.75,70
Tabal,2.75,70
Tabal,2.5,70
Tabal,3.0,70
Tablette (aka Vanillabeans),3.0,70
Tablette (aka Vanillabeans),3.25,62
Tablette (aka Vanillabeans),3.25,60
Tablette (aka Vanillabeans),2.75,77
Tan Ban Skrati,3.25,70
Taza,3.0,68
Taza,3.25,87
Taza,2.75,75
Taza,3.0,70
TCHO,2.0,62
TCHO,3.25,99
TCHO,2.75,60
TCHO,3.0,68
TCHO,2.5,70
TCHO,2.5,70
TCHO,2.75,70
TCHO,2.5,70
Tejas,2.75,70
Tejas,3.0,70
Tejas,3.0,70
Tejas,3.5,70
Tejas,3.25,70
Tejas,2.0,70
Tejas,3.25,70
Tejas,2.75,70
Tejas,3.0,70
Tejas,3.25,70
Tejas,2.75,70
Tejas,3.0,80
Tejas,3.25,67
Tejas,3.5,70
Terroir,2.75,70
Terroir,3.75,70
Terroir,3.75,70
Terroir,3.25,70
Terroir,3.5,70
Terroir,3.75,70
Terroir,3.25,77
Terroir,3.75,67
Terroir,3.75,73
The Barn,3.0,70
Theo,3.25,65
Theo,3.5,65
Theo,2.5,75
Theo,3.0,84
Theo,2.0,91
Theo,3.0,75
Theobroma,3.25,70
Timo A. Meyer,3.75,72
To'ak (Ecuatoriana),3.25,81
Tobago Estate (Pralus),4.0,70
Tocoti,3.0,77
Tocoti,2.75,72
Tocoti,3.0,74
Treehouse,3.0,72
Tsara (Cinagra),3.5,72
twenty-four blackbirds,2.75,75
twenty-four blackbirds,3.5,75
twenty-four blackbirds,3.5,75
twenty-four blackbirds,3.25,68
twenty-four blackbirds,2.5,75
twenty-four blackbirds,2.75,73
Two Ravens,3.0,60
Un Dimanche A Paris,3.75,63
Undone,2.75,74
Undone,3.0,70
Upchurch,3.0,72
Upchurch,3.25,72
Urzi,3.25,65
Valrhona,4.0,63
Valrhona,3.5,70
Valrhona,3.5,64
Valrhona,4.0,69
Valrhona,3.25,56
Valrhona,4.0,64
Valrhona,3.75,64
Valrhona,3.75,66
Valrhona,3.5,68
Valrhona,3.0,72
Valrhona,3.75,65
Valrhona,4.0,64
Valrhona,1.5,85
Valrhona,2.5,85
Valrhona,2.75,71
Valrhona,3.25,64
Valrhona,3.0,66
Valrhona,4.0,70
Valrhona,2.5,64
Valrhona,3.0,64
Valrhona,3.5,64
Vanleer (Barry Callebaut),2.5,72
Vanleer (Barry Callebaut),2.75,65
Vao Vao (Chocolaterie Robert),2.75,72
Vao Vao (Chocolaterie Robert),2.75,76
Vao Vao (Chocolaterie Robert),2.75,80
Vao Vao (Chocolaterie Robert),3.0,70
Vao Vao (Chocolaterie Robert),3.0,68
Vao Vao (Chocolaterie Robert),3.25,64
Vicuna,3.25,70
Vicuna,3.25,70
Videri,3.25,90
Videri,3.5,75
Videri,3.5,75
Videri,3.75,90
Videri,3.25,70
Vietcacao (A. Morin),3.5,70
Vintage Plantations,3.0,75
Vintage Plantations (Tulicorp),2.0,100
Vintage Plantations (Tulicorp),2.0,90
Vintage Plantations (Tulicorp),3.0,75
Vintage Plantations (Tulicorp),3.0,65
Violet Sky,2.75,77
Violet Sky,3.0,77
Violet Sky,3.0,77
Violet Sky,3.25,77
Violet Sky,2.75,77
Vivra,2.5,70
Vivra,2.5,70
Vivra,3.0,70
Wellington Chocolate Factory,3.5,70
Wellington Chocolate Factory,3.5,70
Whittakers,2.5,72
Wilkie's Organic,2.5,75
Wilkie's Organic,2.75,89
Wilkie's Organic,3.25,75
Wilkie's Organic,2.75,75
Willie's Cacao,4.0,70
Willie's Cacao,3.0,88
Willie's Cacao,2.25,100
Willie's Cacao,3.0,71
Willie's Cacao,3.5,72
Willie's Cacao,3.75,69
Willie's Cacao,3.0,70
Willie's Cacao,3.25,72
Wm,3.0,74
Wm,3.5,76
Wm,3.75,75
Woodblock,3.0,70
Woodblock,3.25,70
Woodblock,3.5,70
Woodblock,2.5,70
Woodblock,3.0,70
Woodblock,3.25,70
Woodblock,4.0,70
Woodblock,3.5,70
Xocolat,3.0,66
Xocolla,2.75,70
Xocolla,2.5,70
Zak's,3.0,70
Zak's,3.25,70
Zak's,3.25,70
Zak's,3.25,70
Zak's,3.5,70
Zak's,3.0,60
Zart Pralinen,3.5,70
Zart Pralinen,2.75,70
Zart Pralinen,2.75,85
Zart Pralinen,3.0,85
Zart Pralinen,3.5,70
Zart Pralinen,3.5,78
Zokoko,3.75,78
Zokoko,3.25,65
Zokoko,3.5,68
Zokoko,3.5,66
Zokoko,3.75,72
Zotter,2.75,80
Zotter,3.5,72
Zotter,3.5,65
Zotter,3.0,70
Zotter,3.5,70
Zotter,3.75,62
Zotter,3.0,75
Zotter,3.0,75
Zotter,3.25,90
Zotter,3.75,70
Zotter,3.25,68
Zotter,3.5,58
Zotter,3.75,70
Zotter,3.0,65
Zotter,3.5,65
Zotter,3.25,62
Zotter,3.0,65
